bench,depth,contexts,total_contexts,time_sec,time_cell,ram_kb_last2_mean,memory_cell
com_fasterxml_jackson,1,5,5,25.26535113652547,25.3s,1329000.0,1.3GiB
com_fasterxml_jackson,2,2,6,26.323652505874634,26.3s,1424250.0,1.4GiB
com_fasterxml_jackson,1,10,10,36.7755401134491,36.8s,1835818.0,1.8GiB
com_fasterxml_jackson,2,3,12,39.538642485936485,39.5s,1915806.0,1.8GiB
com_fasterxml_jackson,3,2,14,41.70934136708578,41.7s,2105968.0,2.0GiB
com_fasterxml_jackson,2,5,30,78.90534806251526,78.9s,3579474.0,3.4GiB
com_fasterxml_jackson,4,2,30,71.46638743082683,71.5s,3348490.0,3.2GiB
com_fasterxml_jackson,3,3,39,94.24819231033325,94.2s,4271664.0,4.1GiB
com_fasterxml_jackson,2,10,110,218.76208591461182,219s,11143204.0,11GiB
com_fasterxml_jackson,4,3,120,228.81509311993918,229s,11039794.0,11GiB
com_fasterxml_jackson,3,5,155,287.73042766253155,288s,14896796.0,14GiB
com_fasterxml_jackson,4,5,780,,OOT,,OOT
com_fasterxml_jackson,3,10,1110,,OOT,,OOT
com_fasterxml_jackson,4,10,11110,,OOM,,OOM
org_apache_jackrabbit,1,1,1,29.89402945836385,29.9s,1803230.0,1.7GiB
org_apache_jackrabbit,1,2,2,36.92769440015157,36.9s,1997664.0,1.9GiB
org_apache_jackrabbit,2,1,2,35.534977197647095,35.5s,1967274.0,1.9GiB
org_apache_jackrabbit,1,3,3,41.1176442305247,41.1s,2108088.0,2.0GiB
org_apache_jackrabbit,3,1,3,38.25765331586202,38.3s,2512840.0,2.4GiB
org_apache_jackrabbit,4,1,4,41.38980054855347,41.4s,2631270.0,2.5GiB
org_apache_jackrabbit,1,5,5,53.47594936688741,53.5s,2462082.0,2.3GiB
org_apache_jackrabbit,2,2,6,62.16177296638489,62.2s,3236702.0,3.1GiB
org_apache_jackrabbit,1,10,10,74.98895907402039,75.0s,3903282.0,3.7GiB
org_apache_jackrabbit,2,3,12,89.92876156171162,89.9s,4301538.0,4.1GiB
org_apache_jackrabbit,3,2,14,100.85716152191162,101s,5660652.0,5.4GiB
org_apache_jackrabbit,2,5,30,167.43122045199075,167s,8895288.0,8.5GiB
org_apache_jackrabbit,4,2,30,175.88285120328268,176s,10366324.0,9.9GiB
org_apache_jackrabbit,3,3,39,215.11655529340112,215s,11828540.0,11GiB
org_apache_jackrabbit,2,10,110,718.8531509240469,719s,77410886.0,74GiB
org_apache_jackrabbit,4,3,120,684.1327474912008,684s,62006270.0,59GiB
org_apache_jackrabbit,3,5,155,1023.3297200202942,1023s,101268200.0,97GiB
org_apache_jackrabbit,4,5,780,,OOM,,OOM
org_apache_jackrabbit,3,10,1110,,OOM,,OOM
org_apache_jackrabbit,4,10,11110,,OOM,,OOM
